,Unnamed: 0,year,pick,pick_team,player,draft_team,extra_check,pick_team_normalized
79,79,2004,4,Charlotte Bobcats,Shaun Livingston,Los Angeles Clippers,True,charlotte hornets
80,80,2005,1,Milwaukee Bucks,Andrew Bogut,Milwaukee Bucks,False,milwaukee bucks
81,81,2005,2,Atlanta Hawks,Marvin Williams,Atlanta Hawks,False,atlanta hawks
82,82,2005,3,Portland Trail Blazers,Deron Williams,Utah Jazz,True,portland trail blazers
83,83,2005,4,New Orleans Hornets,Chris Paul,New Orleans Hornets,False,new orleans pelicans
84,84,2006,1,Toronto Raptors,Andrea Bargnani,Toronto Raptors,False,toronto raptors
85,85,2006,2,New York Knicks,LaMarcus Aldridge,Chicago Bulls,True,new york knicks
86,86,2006,3,Charlotte Bobcats,Adam Morrison,Charlotte Bobcats,False,charlotte hornets
87,87,2006,4,Portland Trail Blazers,Tyrus Thomas,Portland Trail Blazers,False,portland trail blazers
88,88,2007,1,Portland Trail Blazers,Greg Oden,Portland Trail Blazers,False,portland trail blazers
89,89,2007,2,Seattle SuperSonics,Kevin Durant,Seattle SuperSonics,False,oklahoma city thunder
90,90,2007,3,Atlanta Hawks,Al Horford,Atlanta Hawks,False,atlanta hawks
91,91,2007,4,Memphis Grizzlies,Mike Conley,Memphis Grizzlies,False,memphis grizzlies
92,92,2008,1,Chicago Bulls,Derrick Rose,Chicago Bulls,False,chicago bulls
93,93,2008,2,Miami Heat,Michael Beasley,Miami Heat,False,miami heat
94,94,2008,3,Minnesota Timberwolves,O.J. Mayo,Minnesota Timberwolves,False,minnesota timberwolves
95,95,2008,4,Seattle SuperSonics,Russell Westbrook,Seattle SuperSonics,False,oklahoma city thunder
96,96,2009,1,Los Angeles Clippers,Blake Griffin,Los Angeles Clippers,False,los angeles clippers
97,97,2009,2,Memphis Grizzlies,Hasheem Thabeet,Memphis Grizzlies,False,memphis grizzlies
98,98,2009,3,Oklahoma City Thunder,James Harden,Oklahoma City Thunder,False,oklahoma city thunder
99,99,2009,4,Sacramento Kings,Tyreke Evans,Sacramento Kings,False,sacramento kings
100,100,2010,1,Washington Wizards,John Wall,Washington Wizards,False,washington wizards
101,101,2010,2,Philadelphia Sixers,Evan Turner,Philadelphia Sixers,False,philadelphia 76ers
102,102,2010,3,New Jersey Nets,Derrick Favors,New Jersey Nets,False,brooklyn nets
103,103,2010,4,Minnesota Timberwolves,Wesley Johnson,Minnesota Timberwolves,False,minnesota timberwolves
104,104,2011,1,Los Angeles Clippers,Kyrie Irving,Cleveland Cavaliers,True,los angeles clippers
