,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
395,395,2000,Los Angeles Lakers,1,4,los angeles lakers
396,396,2000,Portland Trail Blazers,2,2,portland trail blazers
397,397,2000,Indiana Pacers,3,3,indiana pacers
398,398,2000,Utah Jazz,4,1,utah jazz
399,399,2000,Phoenix Suns,5,1,phoenix suns
400,400,2000,San Antonio Spurs,6,0,san antonio spurs
401,401,2000,Miami Heat,7,1,miami heat
402,402,2000,Minnesota Timberwolves,8,0,minnesota timberwolves
403,403,2000,New York Knicks,9,2,new york knicks
404,404,2000,Charlotte Hornets,10,0,charlotte hornets
405,405,2000,Philadelphia 76ers,11,1,philadelphia 76ers
406,406,2000,Seattle SuperSonics,12,0,oklahoma city thunder
407,407,2000,Toronto Raptors,13,0,toronto raptors
408,408,2000,Sacramento Kings,14,0,sacramento kings
409,409,2000,Detroit Pistons,15,0,detroit pistons
410,410,2000,Milwaukee Bucks,16,0,milwaukee bucks
411,411,2000,Orlando Magic,17,-1,orlando magic
412,412,2000,Dallas Mavericks,18,-1,dallas mavericks
413,413,2000,Boston Celtics,19,-1,boston celtics
414,414,2000,Denver Nuggets,20,-1,denver nuggets
415,415,2000,Houston Rockets,21,-1,houston rockets
416,416,2000,Cleveland Cavaliers,22,-1,cleveland cavaliers
417,417,2000,New Jersey Nets,23,-1,brooklyn nets
418,418,2000,Washington Wizards,24,-1,washington wizards
419,419,2000,Atlanta Hawks,25,-1,atlanta hawks
420,420,2000,Vancouver Grizzlies,26,-1,memphis grizzlies
421,421,2000,Golden State Warriors,27,-1,golden state warriors
422,422,2000,Chicago Bulls,28,-1,chicago bulls
423,423,2000,Los Angeles Clippers,29,-1,los angeles clippers
424,424,2001,San Antonio Spurs,1,2,san antonio spurs
425,425,2001,Los Angeles Lakers,2,4,los angeles lakers
426,426,2001,Philadelphia 76ers,3,3,philadelphia 76ers
427,427,2001,Sacramento Kings,4,1,sacramento kings
428,428,2001,Dallas Mavericks,5,1,dallas mavericks
429,429,2001,Utah Jazz,6,0,utah jazz
430,430,2001,Milwaukee Bucks,7,2,milwaukee bucks
431,431,2001,Phoenix Suns,8,0,phoenix suns
432,432,2001,Miami Heat,9,0,miami heat
433,433,2001,Portland Trail Blazers,10,0,portland trail blazers
434,434,2001,New York Knicks,11,0,new york knicks
435,435,2001,Minnesota Timberwolves,12,0,minnesota timberwolves
436,436,2001,Toronto Raptors,13,1,toronto raptors
437,437,2001,Charlotte Hornets,14,1,charlotte hornets
438,438,2001,Houston Rockets,15,-1,houston rockets
439,439,2001,Seattle SuperSonics,16,-1,oklahoma city thunder
440,440,2001,Orlando Magic,17,0,orlando magic
441,441,2001,Indiana Pacers,18,0,indiana pacers
442,442,2001,Denver Nuggets,19,-1,denver nuggets
443,443,2001,Boston Celtics,20,-1,boston celtics
444,444,2001,Detroit Pistons,21,-1,detroit pistons
445,445,2001,Los Angeles Clippers,22,-1,los angeles clippers
446,446,2001,Cleveland Cavaliers,23,-1,cleveland cavaliers
447,447,2001,New Jersey Nets,24,-1,brooklyn nets
448,448,2001,Atlanta Hawks,25,-1,atlanta hawks
449,449,2001,Vancouver Grizzlies,26,-1,memphis grizzlies
450,450,2001,Washington Wizards,27,-1,washington wizards
451,451,2001,Golden State Warriors,28,-1,golden state warriors
452,452,2001,Chicago Bulls,29,-1,chicago bulls
453,453,2002,Sacramento Kings,1,2,sacramento kings
454,454,2002,Los Angeles Lakers,2,4,los angeles lakers
455,455,2002,San Antonio Spurs,3,1,san antonio spurs
456,456,2002,Dallas Mavericks,4,1,dallas mavericks
457,457,2002,New Jersey Nets,5,3,brooklyn nets
458,458,2002,Detroit Pistons,6,1,detroit pistons
459,459,2002,Minnesota Timberwolves,7,0,minnesota timberwolves
460,460,2002,Boston Celtics,8,2,boston celtics
461,461,2002,Portland Trail Blazers,9,0,portland trail blazers
462,462,2002,Seattle SuperSonics,10,0,oklahoma city thunder
463,463,2002,Charlotte Hornets,11,1,charlotte hornets
464,464,2002,Orlando Magic,12,0,orlando magic
465,465,2002,Utah Jazz,13,0,utah jazz
466,466,2002,Philadelphia 76ers,14,0,philadelphia 76ers
467,467,2002,Indiana Pacers,15,0,indiana pacers
