,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
809,809,2013,Orlando Magic,30,-1,orlando magic
810,810,2014,San Antonio Spurs,1,4,san antonio spurs
811,811,2014,Oklahoma City Thunder,2,2,oklahoma city thunder
812,812,2014,Los Angeles Clippers,3,1,los angeles clippers
813,813,2014,Indiana Pacers,4,2,indiana pacers
814,814,2014,Houston Rockets,5,0,houston rockets
815,815,2014,Miami Heat,6,3,miami heat
816,816,2014,Portland Trail Blazers,7,1,portland trail blazers
817,817,2014,Golden State Warriors,8,0,golden state warriors
818,818,2014,Memphis Grizzlies,9,0,memphis grizzlies
819,819,2014,Dallas Mavericks,10,0,dallas mavericks
820,820,2014,Chicago Bulls,11,0,chicago bulls
821,821,2014,Toronto Raptors,12,0,toronto raptors
822,822,2014,Phoenix Suns,13,-1,phoenix suns
823,823,2014,Brooklyn Nets,14,1,brooklyn nets
824,824,2014,Washington Wizards,15,1,washington wizards
825,825,2014,Charlotte Bobcats,16,0,charlotte hornets
826,826,2014,Minnesota Timberwolves,17,-1,minnesota timberwolves
827,827,2014,Atlanta Hawks,18,0,atlanta hawks
828,828,2014,New York Knicks,19,-1,new york knicks
829,829,2014,Denver Nuggets,20,-1,denver nuggets
830,830,2014,New Orleans Pelicans,21,-1,new orleans pelicans
831,831,2014,Cleveland Cavaliers,22,-1,cleveland cavaliers
832,832,2014,Detroit Pistons,23,-1,detroit pistons
833,833,2014,Sacramento Kings,24,-1,sacramento kings
834,834,2014,Los Angeles Lakers,25,-1,los angeles lakers
835,835,2014,Boston Celtics,26,-1,boston celtics
836,836,2014,Utah Jazz,27,-1,utah jazz
837,837,2014,Orlando Magic,28,-1,orlando magic
838,838,2014,Philadelphia 76ers,29,-1,philadelphia 76ers
839,839,2014,Milwaukee Bucks,30,-1,milwaukee bucks
840,840,2015,Golden State Warriors,1,4,golden state warriors
841,841,2015,Atlanta Hawks,2,2,atlanta hawks
842,842,2015,Houston Rockets,3,2,houston rockets
843,843,2015,Los Angeles Clippers,4,1,los angeles clippers
844,844,2015,Memphis Grizzlies,5,1,memphis grizzlies
845,845,2015,San Antonio Spurs,6,0,san antonio spurs
846,846,2015,Cleveland Cavaliers,7,3,cleveland cavaliers
847,847,2015,Portland Trail Blazers,8,0,portland trail blazers
848,848,2015,Chicago Bulls,9,1,chicago bulls
849,849,2015,Dallas Mavericks,10,0,dallas mavericks
850,850,2015,Toronto Raptors,11,0,toronto raptors
851,851,2015,Washington Wizards,12,1,washington wizards
852,852,2015,New Orleans Pelicans,13,0,new orleans pelicans
853,853,2015,Oklahoma City Thunder,14,-1,oklahoma city thunder
854,854,2015,Milwaukee Bucks,15,0,milwaukee bucks
855,855,2015,Boston Celtics,16,0,boston celtics
856,856,2015,Phoenix Suns,17,-1,phoenix suns
857,857,2015,Brooklyn Nets,18,0,brooklyn nets
858,858,2015,Indiana Pacers,19,-1,indiana pacers
859,859,2015,Utah Jazz,20,-1,utah jazz
860,860,2015,Miami Heat,21,-1,miami heat
861,861,2015,Charlotte Hornets,22,-1,charlotte hornets
862,862,2015,Detroit Pistons,23,-1,detroit pistons
863,863,2015,Denver Nuggets,24,-1,denver nuggets
864,864,2015,Sacramento Kings,25,-1,sacramento kings
865,865,2015,Orlando Magic,26,-1,orlando magic
866,866,2015,Los Angeles Lakers,27,-1,los angeles lakers
867,867,2015,Philadelphia 76ers,28,-1,philadelphia 76ers
868,868,2015,New York Knicks,29,-1,new york knicks
869,869,2015,Minnesota Timberwolves,30,-1,minnesota timberwolves
870,870,2016,Golden State Warriors,1,3,golden state warriors
871,871,2016,San Antonio Spurs,2,1,san antonio spurs
872,872,2016,Cleveland Cavaliers,3,4,cleveland cavaliers
873,873,2016,Toronto Raptors,4,2,toronto raptors
874,874,2016,Oklahoma City Thunder,5,2,oklahoma city thunder
875,875,2016,Los Angeles Clippers,6,0,los angeles clippers
876,876,2016,Atlanta Hawks,7,1,atlanta hawks
877,877,2016,Boston Celtics,8,0,boston celtics
878,878,2016,Charlotte Hornets,9,0,charlotte hornets
879,879,2016,Miami Heat,10,1,miami heat
880,880,2016,Indiana Pacers,11,0,indiana pacers
881,881,2016,Detroit Pistons,12,0,detroit pistons
882,882,2016,Portland Trail Blazers,13,1,portland trail blazers
883,883,2016,Dallas Mavericks,14,0,dallas mavericks
884,884,2016,Memphis Grizzlies,15,0,memphis grizzlies
885,885,2016,Chicago Bulls,16,-1,chicago bulls
886,886,2016,Houston Rockets,17,0,houston rockets
887,887,2016,Washington Wizards,18,-1,washington wizards
888,888,2016,Utah Jazz,19,-1,utah jazz
889,889,2016,Orlando Magic,20,-1,orlando magic
890,890,2016,Denver Nuggets,21,-1,denver nuggets
891,891,2016,Milwaukee Bucks,22,-1,milwaukee bucks
892,892,2016,Sacramento Kings,23,-1,sacramento kings
893,893,2016,New York Knicks,24,-1,new york knicks
894,894,2016,New Orleans Pelicans,25,-1,new orleans pelicans
895,895,2016,Minnesota Timberwolves,26,-1,minnesota timberwolves
896,896,2016,Phoenix Suns,27,-1,phoenix suns
897,897,2016,Brooklyn Nets,28,-1,brooklyn nets
898,898,2016,Los Angeles Lakers,29,-1,los angeles lakers
899,899,2016,Philadelphia 76ers,30,-1,philadelphia 76ers
900,900,2017,Golden State Warriors,1,4,golden state warriors
901,901,2017,San Antonio Spurs,2,2,san antonio spurs
902,902,2017,Houston Rockets,3,1,houston rockets
903,903,2017,Boston Celtics,4,2,boston celtics
904,904,2017,Cleveland Cavaliers,5,3,cleveland cavaliers
905,905,2017,Los Angeles Clippers,6,0,los angeles clippers
906,906,2017,Toronto Raptors,7,1,toronto raptors
907,907,2017,Utah Jazz,8,1,utah jazz
908,908,2017,Washington Wizards,9,1,washington wizards
909,909,2017,Oklahoma City Thunder,10,0,oklahoma city thunder
910,910,2017,Atlanta Hawks,11,0,atlanta hawks
911,911,2017,Memphis Grizzlies,12,0,memphis grizzlies
912,912,2017,Indiana Pacers,13,0,indiana pacers
913,913,2017,Milwaukee Bucks,14,0,milwaukee bucks
914,914,2017,Chicago Bulls,15,0,chicago bulls
915,915,2017,Portland Trail Blazers,16,0,portland trail blazers
916,916,2017,Miami Heat,17,-1,miami heat
917,917,2017,Denver Nuggets,18,-1,denver nuggets
918,918,2017,Detroit Pistons,19,-1,detroit pistons
919,919,2017,Charlotte Hornets,20,-1,charlotte hornets
920,920,2017,New Orleans Pelicans,21,-1,new orleans pelicans
921,921,2017,Dallas Mavericks,22,-1,dallas mavericks
922,922,2017,Sacramento Kings,23,-1,sacramento kings
923,923,2017,Minnesota Timberwolves,24,-1,minnesota timberwolves
924,924,2017,New York Knicks,25,-1,new york knicks
925,925,2017,Orlando Magic,26,-1,orlando magic
926,926,2017,Philadelphia 76ers,27,-1,philadelphia 76ers
927,927,2017,Los Angeles Lakers,28,-1,los angeles lakers
928,928,2017,Phoenix Suns,29,-1,phoenix suns
929,929,2017,Brooklyn Nets,30,-1,brooklyn nets
930,930,2018,Houston Rockets,1,2,houston rockets
931,931,2018,Toronto Raptors,2,1,toronto raptors
932,932,2018,Golden State Warriors,3,4,golden state warriors
933,933,2018,Boston Celtics,4,2,boston celtics
934,934,2018,Philadelphia 76ers,5,1,philadelphia 76ers
935,935,2018,Cleveland Cavaliers,6,3,cleveland cavaliers
936,936,2018,Portland Trail Blazers,7,0,portland trail blazers
937,937,2018,Indiana Pacers,8,0,indiana pacers
938,938,2018,New Orleans Pelicans,9,1,new orleans pelicans
939,939,2018,Oklahoma City Thunder,10,0,oklahoma city thunder
940,940,2018,Utah Jazz,11,1,utah jazz
941,941,2018,Minnesota Timberwolves,12,0,minnesota timberwolves
942,942,2018,San Antonio Spurs,13,0,san antonio spurs
943,943,2018,Denver Nuggets,14,-1,denver nuggets
944,944,2018,Miami Heat,15,0,miami heat
945,945,2018,Milwaukee Bucks,16,0,milwaukee bucks
946,946,2018,Washington Wizards,17,0,washington wizards
947,947,2018,Los Angeles Clippers,18,-1,los angeles clippers
948,948,2018,Detroit Pistons,19,-1,detroit pistons
949,949,2018,Charlotte Hornets,20,-1,charlotte hornets
950,950,2018,Los Angeles Lakers,21,-1,los angeles lakers
951,951,2018,New York Knicks,22,-1,new york knicks
952,952,2018,Brooklyn Nets,23,-1,brooklyn nets
953,953,2018,Chicago Bulls,24,-1,chicago bulls
954,954,2018,Sacramento Kings,25,-1,sacramento kings
955,955,2018,Orlando Magic,26,-1,orlando magic
956,956,2018,Atlanta Hawks,27,-1,atlanta hawks
957,957,2018,Dallas Mavericks,28,-1,dallas mavericks
958,958,2018,Memphis Grizzlies,29,-1,memphis grizzlies
959,959,2018,Phoenix Suns,30,-1,phoenix suns
960,960,2019,Milwaukee Bucks,1,2,milwaukee bucks
961,961,2019,Toronto Raptors,2,4,toronto raptors
962,962,2019,Golden State Warriors,3,3,golden state warriors
963,963,2019,Denver Nuggets,4,1,denver nuggets
964,964,2019,Houston Rockets,5,1,houston rockets
965,965,2019,Portland Trail Blazers,6,2,portland trail blazers
966,966,2019,Philadelphia 76ers,7,1,philadelphia 76ers
967,967,2019,Utah Jazz,8,0,utah jazz
968,968,2019,Boston Celtics,9,1,boston celtics
969,969,2019,Oklahoma City Thunder,10,0,oklahoma city thunder
970,970,2019,Indiana Pacers,11,0,indiana pacers
971,971,2019,Los Angeles Clippers,12,0,los angeles clippers
972,972,2019,San Antonio Spurs,13,0,san antonio spurs
973,973,2019,Brooklyn Nets,14,0,brooklyn nets
974,974,2019,Orlando Magic,15,0,orlando magic
975,975,2019,Detroit Pistons,16,0,detroit pistons
976,976,2019,Charlotte Hornets,17,-1,charlotte hornets
977,977,2019,Miami Heat,18,-1,miami heat
978,978,2019,Sacramento Kings,19,-1,sacramento kings
979,979,2019,Los Angeles Lakers,20,-1,los angeles lakers
980,980,2019,Minnesota Timberwolves,21,-1,minnesota timberwolves
981,981,2019,Dallas Mavericks,22,-1,dallas mavericks
982,982,2019,Memphis Grizzlies,23,-1,memphis grizzlies
983,983,2019,New Orleans Pelicans,24,-1,new orleans pelicans
984,984,2019,Washington Wizards,25,-1,washington wizards
985,985,2019,Atlanta Hawks,26,-1,atlanta hawks
986,986,2019,Chicago Bulls,27,-1,chicago bulls
987,987,2019,Cleveland Cavaliers,28,-1,cleveland cavaliers
988,988,2019,Phoenix Suns,29,-1,phoenix suns
989,989,2019,New York Knicks,30,-1,new york knicks
990,990,2020,Milwaukee Bucks,1,1,milwaukee bucks
991,991,2020,Toronto Raptors,2,1,toronto raptors
992,992,2020,Los Angeles Lakers,3,4,los angeles lakers
993,993,2020,Los Angeles Clippers,4,1,los angeles clippers
994,994,2020,Boston Celtics,5,2,boston celtics
995,995,2020,Denver Nuggets,6,2,denver nuggets
996,996,2020,Indiana Pacers,7,0,indiana pacers
997,997,2020,Houston Rockets,8,1,houston rockets
998,998,2020,Miami Heat,9,3,miami heat
999,999,2020,Oklahoma City Thunder,10,0,oklahoma city thunder
1000,1000,2020,Utah Jazz,11,0,utah jazz
1001,1001,2020,Dallas Mavericks,12,0,dallas mavericks
1002,1002,2020,Philadelphia 76ers,13,0,philadelphia 76ers
1003,1003,2020,Brooklyn Nets,14,0,brooklyn nets
1004,1004,2020,Portland Trail Blazers,15,0,portland trail blazers
1005,1005,2020,Memphis Grizzlies,16,-1,memphis grizzlies
1006,1006,2020,Phoenix Suns,17,-1,phoenix suns
1007,1007,2020,Orlando Magic,18,0,orlando magic
1008,1008,2020,San Antonio Spurs,19,-1,san antonio spurs
1009,1009,2020,Sacramento Kings,20,-1,sacramento kings
1010,1010,2020,New Orleans Pelicans,21,-1,new orleans pelicans
1011,1011,2020,Washington Wizards,22,-1,washington wizards
1012,1012,2020,Charlotte Hornets,23,-1,charlotte hornets
1013,1013,2020,Chicago Bulls,24,-1,chicago bulls
1014,1014,2020,New York Knicks,25,-1,new york knicks
1015,1015,2020,Atlanta Hawks,26,-1,atlanta hawks
1016,1016,2020,Detroit Pistons,27,-1,detroit pistons
1017,1017,2020,Cleveland Cavaliers,28,-1,cleveland cavaliers
1018,1018,2020,Minnesota Timberwolves,29,-1,minnesota timberwolves
1019,1019,2020,Golden State Warriors,30,-1,golden state warriors
1020,1020,2021,Utah Jazz,1,1,utah jazz
1021,1021,2021,Phoenix Suns,2,3,phoenix suns
1022,1022,2021,Philadelphia 76ers,3,1,philadelphia 76ers
1023,1023,2021,Brooklyn Nets,4,1,brooklyn nets
1024,1024,2021,Denver Nuggets,5,1,denver nuggets
1025,1025,2021,Los Angeles Clippers,6,2,los angeles clippers
1026,1026,2021,Milwaukee Bucks,7,4,milwaukee bucks
1027,1027,2021,Dallas Mavericks,8,0,dallas mavericks
1028,1028,2021,Los Angeles Lakers,9,0,los angeles lakers
1029,1029,2021,Portland Trail Blazers,10,0,portland trail blazers
1030,1030,2021,Atlanta Hawks,11,2,atlanta hawks
1031,1031,2021,New York Knicks,12,0,new york knicks
1032,1032,2021,Miami Heat,13,0,miami heat
1033,1033,2021,Golden State Warriors,14,-1,golden state warriors
1034,1034,2021,Memphis Grizzlies,15,0,memphis grizzlies
1035,1035,2021,Boston Celtics,16,0,boston celtics
1036,1036,2021,Washington Wizards,17,0,washington wizards
1037,1037,2021,Indiana Pacers,18,-1,indiana pacers
1038,1038,2021,Charlotte Hornets,19,-1,charlotte hornets
1039,1039,2021,San Antonio Spurs,20,-1,san antonio spurs
1040,1040,2021,Chicago Bulls,21,-1,chicago bulls
1041,1041,2021,New Orleans Pelicans,22,-1,new orleans pelicans
1042,1042,2021,Sacramento Kings,23,-1,sacramento kings
1043,1043,2021,Toronto Raptors,24,-1,toronto raptors
1044,1044,2021,Minnesota Timberwolves,25,-1,minnesota timberwolves
1045,1045,2021,Cleveland Cavaliers,26,-1,cleveland cavaliers
1046,1046,2021,Oklahoma City Thunder,27,-1,oklahoma city thunder
1047,1047,2021,Orlando Magic,28,-1,orlando magic
1048,1048,2021,Detroit Pistons,29,-1,detroit pistons
1049,1049,2021,Houston Rockets,30,-1,houston rockets
1050,1050,2022,Phoenix Suns,1,1,phoenix suns
1051,1051,2022,Memphis Grizzlies,2,1,memphis grizzlies
1052,1052,2022,Golden State Warriors,3,4,golden state warriors
1053,1053,2022,Miami Heat,4,2,miami heat
1054,1054,2022,Dallas Mavericks,5,2,dallas mavericks
1055,1055,2022,Boston Celtics,6,3,boston celtics
1056,1056,2022,Milwaukee Bucks,7,1,milwaukee bucks
1057,1057,2022,Philadelphia 76ers,8,1,philadelphia 76ers
1058,1058,2022,Utah Jazz,9,0,utah jazz
1059,1059,2022,Denver Nuggets,10,0,denver nuggets
1060,1060,2022,Toronto Raptors,11,0,toronto raptors
1061,1061,2022,Chicago Bulls,12,0,chicago bulls
1062,1062,2022,Minnesota Timberwolves,13,0,minnesota timberwolves
1063,1063,2022,Brooklyn Nets,14,0,brooklyn nets
1064,1064,2022,Cleveland Cavaliers,15,-1,cleveland cavaliers
1065,1065,2022,Atlanta Hawks,16,0,atlanta hawks
1066,1066,2022,Charlotte Hornets,17,-1,charlotte hornets
1067,1067,2022,Los Angeles Clippers,18,-1,los angeles clippers
1068,1068,2022,New York Knicks,19,-1,new york knicks
1069,1069,2022,New Orleans Pelicans,20,0,new orleans pelicans
1070,1070,2022,Washington Wizards,21,-1,washington wizards
1071,1071,2022,San Antonio Spurs,22,-1,san antonio spurs
1072,1072,2022,Los Angeles Lakers,23,-1,los angeles lakers
1073,1073,2022,Sacramento Kings,24,-1,sacramento kings
1074,1074,2022,Portland Trail Blazers,25,-1,portland trail blazers
1075,1075,2022,Indiana Pacers,26,-1,indiana pacers
1076,1076,2022,Oklahoma City Thunder,27,-1,oklahoma city thunder
1077,1077,2022,Detroit Pistons,28,-1,detroit pistons
1078,1078,2022,Orlando Magic,29,-1,orlando magic
1079,1079,2022,Houston Rockets,30,-1,houston rockets
1080,1080,2023,Milwaukee Bucks,1,0,milwaukee bucks
1081,1081,2023,Boston Celtics,2,2,boston celtics
1082,1082,2023,Philadelphia 76ers,3,1,philadelphia 76ers
1083,1083,2023,Denver Nuggets,4,4,denver nuggets
1084,1084,2023,Cleveland Cavaliers,5,0,cleveland cavaliers
1085,1085,2023,Memphis Grizzlies,6,0,memphis grizzlies
1086,1086,2023,Sacramento Kings,7,0,sacramento kings
1087,1087,2023,New York Knicks,8,1,new york knicks
1088,1088,2023,Brooklyn Nets,9,0,brooklyn nets
1089,1089,2023,Phoenix Suns,10,1,phoenix suns
1090,1090,2023,Golden State Warriors,11,1,golden state warriors
1091,1091,2023,Los Angeles Clippers,12,0,los angeles clippers
1092,1092,2023,Miami Heat,13,3,miami heat
1093,1093,2023,Los Angeles Lakers,14,2,los angeles lakers
1094,1094,2023,Minnesota Timberwolves,15,0,minnesota timberwolves
1095,1095,2023,New Orleans Pelicans,16,-1,new orleans pelicans
1096,1096,2023,Atlanta Hawks,17,0,atlanta hawks
1097,1097,2023,Toronto Raptors,18,-1,toronto raptors
1098,1098,2023,Chicago Bulls,19,-1,chicago bulls
1099,1099,2023,Oklahoma City Thunder,20,-1,oklahoma city thunder
1100,1100,2023,Dallas Mavericks,21,-1,dallas mavericks
1101,1101,2023,Utah Jazz,22,-1,utah jazz
1102,1102,2023,Indiana Pacers,23,-1,indiana pacers
1103,1103,2023,Washington Wizards,24,-1,washington wizards
1104,1104,2023,Orlando Magic,25,-1,orlando magic
1105,1105,2023,Portland Trail Blazers,26,-1,portland trail blazers
1106,1106,2023,Charlotte Hornets,27,-1,charlotte hornets
1107,1107,2023,Houston Rockets,28,-1,houston rockets
1108,1108,2023,San Antonio Spurs,29,-1,san antonio spurs
1109,1109,2023,Detroit Pistons,30,-1,detroit pistons
1110,1110,2024,Boston Celtics,1,4,boston celtics
1111,1111,2024,Denver Nuggets,2,1,denver nuggets
1112,1112,2024,Oklahoma City Thunder,3,1,oklahoma city thunder
1113,1113,2024,Minnesota Timberwolves,4,2,minnesota timberwolves
1114,1114,2024,Los Angeles Clippers,5,0,los angeles clippers
1115,1115,2024,Dallas Mavericks,6,3,dallas mavericks
1116,1116,2024,New York Knicks,7,1,new york knicks
1117,1117,2024,Milwaukee Bucks,8,0,milwaukee bucks
1118,1118,2024,New Orleans Pelicans,9,0,new orleans pelicans
1119,1119,2024,Phoenix Suns,10,0,phoenix suns
1120,1120,2024,Cleveland Cavaliers,11,1,cleveland cavaliers
1121,1121,2024,Indiana Pacers,12,2,indiana pacers
1122,1122,2024,Los Angeles Lakers,13,0,los angeles lakers
1123,1123,2024,Orlando Magic,14,0,orlando magic
1124,1124,2024,Philadelphia 76ers,15,0,philadelphia 76ers
1125,1125,2024,Miami Heat,16,0,miami heat
1126,1126,2024,Golden State Warriors,17,-1,golden state warriors
1127,1127,2024,Sacramento Kings,18,-1,sacramento kings
1128,1128,2024,Houston Rockets,19,-1,houston rockets
1129,1129,2024,Chicago Bulls,20,-1,chicago bulls
1130,1130,2024,Atlanta Hawks,21,-1,atlanta hawks
1131,1131,2024,Brooklyn Nets,22,-1,brooklyn nets
1132,1132,2024,Utah Jazz,23,-1,utah jazz
1133,1133,2024,Memphis Grizzlies,24,-1,memphis grizzlies
1134,1134,2024,Toronto Raptors,25,-1,toronto raptors
1135,1135,2024,San Antonio Spurs,26,-1,san antonio spurs
1136,1136,2024,Charlotte Hornets,27,-1,charlotte hornets
1137,1137,2024,Portland Trail Blazers,28,-1,portland trail blazers
1138,1138,2024,Washington Wizards,29,-1,washington wizards
1139,1139,2024,Detroit Pistons,30,-1,detroit pistons
